show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,date_added_parsed,duration_minutes,genre
s00001,Movie,Sample Title 1,Patty Jenkins,"Priyanka Chopra, Dev Patel",Canada,"July 03, 2018",1998,PG-13,73 min,Sci-Fi & Fantasy,An uplifting story about friendship and resilience.,1998-01-01,73,Sci-Fi & Fantasy
s00002,TV Show,Sample Title 2,Greta Gerwig,"Rami Malek, Lucy Boynton",Brazil,"October 01, 2022",1991,TV-14,3 Seasons,Sci-Fi & Fantasy,A chilling horror that keeps you on edge.,1991-01-01,540,Sci-Fi & Fantasy
s00003,Movie,Sample Title 3,Sofia Coppola,"Priyanka Chopra, Dev Patel",Unknown,"January 27, 2016",2000,TV-PG,127 min,Romantic Movies,A heartwarming family movie filled with emotions.,2000-01-01,127,Romantic Movies
s00004,Movie,Sample Title 4,Denis Villeneuve,"Tom Holland, Jacob Batalon",India,"January 14, 2017",2014,PG-13,97 min,Romantic Movies,A romantic story that challenges destiny.,2014-01-01,97,Romantic Movies
s00005,TV Show,Sample Title 5,Karan Johar,"Zendaya, Timothée Chalamet",Australia,"November 18, 2016",2008,G,8 Season,Reality TV,A high-octane adventure across continents.,2008-01-01,1440,Reality TV
s00006,Movie,Sample Title 6,Taika Waititi,"Rami Malek, Lucy Boynton",Unknown,"March 31, 2019",1995,TV-14,75 min,Comedies,A chilling horror that keeps you on edge.,1995-01-01,75,Comedies
s00007,TV Show,Sample Title 7,Bong Joon-ho,"Meryl Streep, Anne Hathaway",France,"December 26, 2019",2003,PG,27 Seasons,Comedies,A reality show full of surprises.,2003-01-01,4860,Comedies
s00008,Movie,Sample Title 8,Patty Jenkins,"Rami Malek, Lucy Boynton",United Kingdom,"March 08, 2021",2014,PG,138 min,Sci-Fi & Fantasy,A high-octane adventure across continents.,2014-01-01,138,Sci-Fi & Fantasy
s00009,TV Show,Sample Title 9,Greta Gerwig,"Robert Downey Jr., Chris Evans",Unknown,"July 16, 2019",2015,PG,1 Season,Comedies,A high-octane adventure across continents.,2015-01-01,180,Comedies
s00010,TV Show,Sample Title 10,Martin Scorsese,"Mahershala Ali, Jharrel Jerome",United Kingdom,"December 20, 2018",1998,TV-14,16 Seasons,Sci-Fi & Fantasy,A futuristic sci-fi with stunning visuals.,1998-01-01,2880,Sci-Fi & Fantasy
s00011,TV Show,Sample Title 11,Unknown,"Shah Rukh Khan, Kajol",Australia,"January 22, 2020",2004,R,7 Season,Sci-Fi & Fantasy,A crime saga revealing deep corruption.,2004-01-01,1260,Sci-Fi & Fantasy
s00012,Movie,Sample Title 12,Wes Anderson,"Zendaya, Timothée Chalamet",United Kingdom,"January 14, 2023",2000,TV-PG,76 min,Reality TV,An uplifting story about friendship and resilience.,2000-01-01,76,Reality TV
s00013,TV Show,Sample Title 13,Karan Johar,"Priyanka Chopra, Dev Patel",Brazil,"February 17, 2016",1997,PG,15 Seasons,Romantic Movies,An uplifting story about friendship and resilience.,1997-01-01,2700,Romantic Movies
s00014,TV Show,Sample Title 14,David Fincher,"Priyanka Chopra, Dev Patel",Brazil,"January 01, 2018",2022,PG-13,15 Seasons,Children & Family Movies,A futuristic sci-fi with stunning visuals.,2022-01-01,2700,Children & Family Movies
s00015,Movie,Sample Title 15,Bong Joon-ho,"Meryl Streep, Anne Hathaway",Brazil,"December 12, 2021",1990,G,89 min,Crime TV Shows,A gripping tale of ambition and betrayal.,1990-01-01,89,Crime TV Shows
s00016,Movie,Sample Title 16,Unknown,"Priyanka Chopra, Dev Patel",Canada,"August 25, 2016",2005,PG-13,116 min,Comedies,A crime saga revealing deep corruption.,2005-01-01,116,Comedies
s00017,Movie,Sample Title 17,Denis Villeneuve,"Meryl Streep, Anne Hathaway",United Kingdom,"May 26, 2023",2020,R,138 min,Children & Family Movies,A futuristic sci-fi with stunning visuals.,2020-01-01,138,Children & Family Movies
s00018,TV Show,Sample Title 18,Denis Villeneuve,"Rami Malek, Lucy Boynton",Mexico,"June 30, 2019",2015,G,9 Season,Crime TV Shows,A futuristic sci-fi with stunning visuals.,2015-01-01,1620,Crime TV Shows
s00019,TV Show,Sample Title 19,Ava DuVernay,"Tom Holland, Jacob Batalon",United States,"August 06, 2022",2004,TV-14,8 Seasons,"Dramas, International Movies",An uplifting story about friendship and resilience.,2004-01-01,1440,Dramas
s00019,TV Show,Sample Title 19,Ava DuVernay,"Tom Holland, Jacob Batalon",United States,"August 06, 2022",2004,TV-14,8 Seasons,"Dramas, International Movies",An uplifting story about friendship and resilience.,2004-01-01,1440,International Movies
s00020,Movie,Sample Title 20,Ava DuVernay,"Robert Downey Jr., Chris Evans",France,"October 17, 2016",2022,TV-14,99 min,Children & Family Movies,A crime saga revealing deep corruption.,2022-01-01,99,Children & Family Movies
s00021,Movie,Sample Title 21,Christopher Nolan,"Shah Rukh Khan, Kajol",Spain,"April 20, 2021",2005,NR,139 min,Horror Movies,A high-octane adventure across continents.,2005-01-01,139,Horror Movies
s00022,Movie,Sample Title 22,Taika Waititi,"Scarlett Johansson, Florence Pugh",France,"September 30, 2020",2016,NR,82 min,"Dramas, International Movies",An uplifting story about friendship and resilience.,2016-01-01,82,Dramas
s00022,Movie,Sample Title 22,Taika Waititi,"Scarlett Johansson, Florence Pugh",France,"September 30, 2020",2016,NR,82 min,"Dramas, International Movies",An uplifting story about friendship and resilience.,2016-01-01,82,International Movies
s00023,Movie,Sample Title 23,Patty Jenkins,"Tom Holland, Jacob Batalon",Unknown,"March 23, 2017",2005,TV-14,121 min,Action & Adventure,A futuristic sci-fi with stunning visuals.,2005-01-01,121,Action & Adventure
s00024,TV Show,Sample Title 24,Quentin Tarantino,"Mahershala Ali, Jharrel Jerome",Canada,"November 04, 2016",2018,PG-13,6 Seasons,"Dramas, International Movies",A futuristic sci-fi with stunning visuals.,2018-01-01,1080,Dramas
s00024,TV Show,Sample Title 24,Quentin Tarantino,"Mahershala Ali, Jharrel Jerome",Canada,"November 04, 2016",2018,PG-13,6 Seasons,"Dramas, International Movies",A futuristic sci-fi with stunning visuals.,2018-01-01,1080,International Movies
s00025,Movie,Sample Title 25,Unknown,"Rami Malek, Lucy Boynton",United Kingdom,"July 22, 2020",2021,NR,81 min,Action & Adventure,A chilling horror that keeps you on edge.,2021-01-01,81,Action & Adventure
s00026,Movie,Sample Title 26,Martin Scorsese,"Robert Downey Jr., Chris Evans",Australia,"December 22, 2018",2019,PG,91 min,Horror Movies,A futuristic sci-fi with stunning visuals.,2019-01-01,91,Horror Movies
s00027,TV Show,Sample Title 27,Greta Gerwig,"Robert Downey Jr., Chris Evans",Spain,"January 29, 2022",1993,G,10 Seasons,"Dramas, International Movies",A gripping tale of ambition and betrayal.,1993-01-01,1800,Dramas
s00027,TV Show,Sample Title 27,Greta Gerwig,"Robert Downey Jr., Chris Evans",Spain,"January 29, 2022",1993,G,10 Seasons,"Dramas, International Movies",A gripping tale of ambition and betrayal.,1993-01-01,1800,International Movies
s00028,TV Show,Sample Title 28,Christopher Nolan,"Robert Downey Jr., Chris Evans",Brazil,"November 24, 2016",2001,PG-13,9 Season,Reality TV,An uplifting story about friendship and resilience.,2001-01-01,1620,Reality TV
